lemma	pos	match	ids	headwords	parts
Иису́с	n.prop	none			
ико́на	n.f	exact	0256-2-05	Икона	main
име́ти	v	none			
и́мя	n.n	none			
иноплеме́нный	adj/n	exact	1034-2-08	Иноплеменный	supplement
и́ноческий	adj	none			
и́ный	adj/pron	exact	0261-1-09	Иный	main
иска́ние	n.n	none			
иска́ти	v	none			
искуше́ние	n.n	none			
испове́дание	n.n	exact	0265-1-23	Исповедание	main
испове́дати	v	verb	0265-1-24	Исповедаю	main
исполне́ние	n.n	exact	0265-2-09	Исполненіе	main
испо́лнити	v	none			
исправле́ние	n.n	none			
истека́ти	v	none			
и́стинный	adj	exact	0267-1-11	Истинный	main
источа́ти, источи́ти	v	verb	0267-2-21;1037-1-09	Источаю;Источаю	main;supplement
исто́чник	n.m	exact	0267-2-22	Источникъ	main
исхи́тити	v	none			
исцеле́ние	n.n	none			
исцеля́тися	v	none			
к, ко	prep	exact	0277-3-01;0281-2-11;1052-1-03	K;К;К	main;main;supplement
Каза́нь	n.prop	exact	1041-2-05	Казань	supplement
Каза́нский	adj	none			
ка́ко	adv/conj	exact	0278-2-10	Како	main
ка́мень	n.m	exact	0280-1-08;1043-1-03	Камень;Камень	main;supplement
ка́ятися	v	none			
клас	n.m	exact	1048-1-09	Класъ	supplement
кознь	n.f	exact	0294-2-10	Кознь	main
коне́ц	n.m	exact	0298-2-07;1055-2-03	Конецъ;Конецъ	main;supplement
крамо́ла	n.f	none			
кре́пкий	adj	exact	0310-2-01	Крепкій	main
кре́пость	n.f	exact	0310-2-09;1064-2-03	Крѣпость;Крепость	main;supplement
крест	n.m	exact	1061-2-02	Крестъ	supplement
лесть	n.f	none			
ликовствова́ти	v	none			
лице́	n.n	none			
лик	n.m	exact	0319-2-06;0320-1-09	Лика и ликъ;Лик	main;main
лобыза́ти	v	none			
луча́	n.f	none			
любе́зно	adv	none			
любо́вь	n.f	none			
лю́дие	n.pl	exact	0331-1-06	Людіе	main
лю́тый	adj	exact	0331-1-15	Лютый	main
ма́лый	adj	exact	0333-2-26	Малый	main
Мари́я	n.prop	none			
Ма́терний	adj	none			
Ма́ти	n.f	exact	1083-1-11	Мати	supplement
мгла	n.f	exact	0337-2-09	Мгла	main
милосе́рдый	adj	none			
ми́лость	n.f	exact	0342-2-13;1082-1-07	Милость;Милость	main;supplement
мир (покой)	n.m	exact	1083-1-05	Міръ	supplement
мир (вселенная)	n.m	exact	1083-1-05	Міръ	supplement
ми́рный	adj	exact	0343-2-07;0345-1-10	Мирный;Мірный	main;main
мирски́й	adj/n	none			
Младе́нец	n.m	none			
мно́гий	adj	none			
мно́го	adv	none			
многовеща́нный	adj	exact	0346-2-18	Многовѣщанный	main
многотеку́щий	adj	exact	0349-1-17	Многотекущій	main
многоце́нный	adj	none			
мно́жество	n.n	none			
мощи́	v	none			
моле́ние	n.n	none			
моли́ти(ся)	v	exact	1084-1-03	Молити	supplement
моли́тва	n.f	none			
мо́лния	n.f	none			
мона́х	n.m	none			
мо́ре	n.n	none			
мой	pron	none			
мрак	n.m	exact	1086-1-04	Мракъ	supplement
му́дрый	adj	exact	1086-1-13	Мудрый	supplement
му́ченический	adj	none			
мы	pron	none			
на	prep	exact	0396-2-05	НА	main
наве́т	n.m	none			
наги́й	adj/n	none			
наде́жда	n.f	none			
надея́ние	n.n	none			
наме́рение	n.n	none			
напа́сть	n.f	exact	0369-2-07	Напасть	main
напра́сный	adj	none			
